,Date,open_price,high_price,low_price,close_price,volume,news_lm,news_lm_count,News_bs,news_bs_count,news_mc1,news_mc_count,Sentiment on Date,Subjectivity on Day,Sentiment Value,Subjectivity value,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum,News,total_news
0,2021-05-31,3150,3170.35,3128.6,3159.15,1651930,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,2021-05-28,3189.5,3198,3135.65,3143.6,1763701,0,0.0,S D Shibulal Again Buys Infosys Shares Worth Rs 100 Crore From Wife,1.0,0,0.0, Slightly Positive,Slightly Subjective,0.145123967,0.51768595, Slightly Positive,Objective,0.3,0.1,54.0,27.0,153.0,S D Shibulal Again Buys Infosys Shares Worth Rs 100 Crore From Wife,1.0
2,2021-05-27,3161.95,3217.75,3161.8,3180,5959785,TCS acquires GE's stake in TCS Saudi Arabia,1.0,"General Motors' Newest Vehicle: Off-Road, Self-Driving Rover For Moon",1.0,0,0.0, Slightly Positive,Slightly Subjective,0.167058824,0.600588235,Neutral,Slightly Subjective,0.05,0.5,26.0,3.0,96.0,"General Motors' Newest Vehicle: Off-Road, Self-Driving Rover For Moon,TCS acquires GE's stake in TCS Saudi Arabia",2.0
3,2021-05-26,3120,3165,3103.8,3158.5,1923753,0,0.0,0,0.0,TCS sees pandemic-driven boost in Europe as clients adopt new technologies,1.0,0,0,0.0,0.0, Slightly Positive,Slightly Subjective,0.13636363599999998,0.454545455,0.0,0.0,0.0,TCS sees pandemic-driven boost in Europe as clients adopt new technologies,1.0
4,2021-05-25,3092,3128.25,3082.1,3114,1841613,0,0.0,"Dysfunctional Ventilators Serious Matter: Bombay HC Seeks Reply From Centre,Fungus Colour Should Not Lead To Panic, Look For Causes And Risks: Experts,Govt Assessing Economic Impact Of Second Covid Wave For Possible Stimulus,Wasim Jaffer, Amol Muzumdar, Bahutule Apply For Mumbai Head Coach Post,Infosys Sees No Major Impact Of Covid Pandemic On Client Deliverables,BMW Announces Rs 8 Crore Aid For Coronavirus Relief Efforts In India",6.0,Accumulate Tata Consultancy Services; target of Rs 3370: Dolat Capital Market,1.0,0,0,0.0,0.0,Negative,Slightly Subjective,-0.014166666999999999,0.47333333299999997,0.0,0.0,0.0,"Dysfunctional Ventilators Serious Matter: Bombay HC Seeks Reply From Centre,Fungus Colour Should Not Lead To Panic, Look For Causes And Risks: Experts,Govt Assessing Economic Impact Of Second Covid Wave For Possible Stimulus,Wasim Jaffer, Amol Muzumdar, Bahutule Apply For Mumbai Head Coach Post,Infosys Sees No Major Impact Of Covid Pandemic On Client Deliverables,BMW Announces Rs 8 Crore Aid For Coronavirus Relief Efforts In India,Accumulate Tata Consultancy Services; target of Rs 3370: Dolat Capital Market",7.0
5,2021-05-24,3081.5,3105,3072,3081.5,1652260,0,0.0,Sea Change: Global Freight Industry Sails Out Of The Digital Dark Ages,1.0,0,0.0,0,0,0.0,0.0,Negative,Objective,-0.05,0.133333333,0.0,0.0,0.0,Sea Change: Global Freight Industry Sails Out Of The Digital Dark Ages,1.0
6,2021-05-21,3061,3088.2,3055.1,3080.5,1685566,TCS setting up over 100 COVID vaccination centres across India,1.0,"Sun Pharma Recalls 50,868 Bottles Of Diabetes Drug Metformin HCl In US",1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Sun Pharma Recalls 50,868 Bottles Of Diabetes Drug Metformin HCl In US,TCS setting up over 100 COVID vaccination centres across India",2.0
7,2021-05-20,3067.1,3088.8,3052.1,3060,2329027,0,0.0,"Unichem Labs Gets USFDA Nod To Market Generic Antidepressant Tablets,Indian Hospitality Industry'S RevPAR Falls 39% In First Quarter: JLL",2.0,0,0.0,0,0,0.0,0.0, Slightly Positive,Objective,0.125,0.166666667,0.0,0.0,0.0,"Unichem Labs Gets USFDA Nod To Market Generic Antidepressant Tablets,Indian Hospitality Industry'S RevPAR Falls 39% In First Quarter: JLL",2.0
8,2021-05-19,3084,3118,3067.1,3082,1986041,TCS CEO Rajesh Gopinathan draws ₹20.36 crore pay package in FY21,1.0,"Covid: Tata Motors Extends Free Service, Warranty Period On CVs By 1 Month,Amazon To Continue Pause On Police Use Of Facial Recognition Technology",2.0,0,0.0,0,0,0.0,0.0, Slightly Positive,Slightly Subjective,0.2,0.4,0.0,0.0,0.0,"Covid: Tata Motors Extends Free Service, Warranty Period On CVs By 1 Month,Amazon To Continue Pause On Police Use Of Facial Recognition Technology,TCS CEO Rajesh Gopinathan draws ₹20.36 crore pay package in FY21",3.0
9,2021-05-18,3100,3124,3078,3088.8,2098538,0,0.0,"CESL To Procure 300 Electric Vehicles From Tata Motors,Chhatrasal Case: No Relief To Sushil Kumar, Court Denies Anticipatory Bail,Court To Pronounce Order On Sushil Kumar'S Anticipatory Bail Plea Today,Chhatrasal Brawl: Police Announces Rs 1 Lakh Reward For Info On Sushil",4.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"CESL To Procure 300 Electric Vehicles From Tata Motors,Chhatrasal Case: No Relief To Sushil Kumar, Court Denies Anticipatory Bail,Court To Pronounce Order On Sushil Kumar'S Anticipatory Bail Plea Today,Chhatrasal Brawl: Police Announces Rs 1 Lakh Reward For Info On Sushil",4.0
