Date,News,News Count
2003-07-10,"19 Firms Invested In UK In 2002-03,19 Firms Invested In UK In 2002-03",2
2003-07-14,CMC Keen To Avoid Duplication Of Work,1
2003-07-16,Is Listing Good For TCS?,1
2003-07-29,"Indian Hotels, SIA Plan Joint Venture",1
2003-08-05,TCS Slashes Variable Pay,1
2003-08-11,Calling On Recruits,1
2003-09-10,Tata-HDFC BPO Plans Rs 50 Crore Investment,1
2003-09-30,Four Consultants To Make Presentation To IDBI Today,1
2003-10-21,Technical Textiles Consumption To Be Worth $126 Bn By '10,1
2003-10-27,"9 Ports Named For Sale,9 Ports Named For Sale",2
2003-11-06,"IT Majors Keen On Operations In Coimbatore,IT Majors Keen On Operations In Coimbatore",2
2003-11-08,TCS To Hive Off BPO Operations,1
2003-11-13,TCS To Test Microsoft Software,1
2003-12-01,India To Take Up TCS Deal With US,1
2003-12-10,Singapore To Be TCS Hub,1
2003-12-20,"E&Y Not To Bid For Airport Project,E&Y Not To Bid For Airport Project",2
2003-12-30,"E-Seva Offered For Rural Areas,E-Seva Offered For Rural Areas",2
2004-01-10,Looking Ahead To 2010,1
2004-01-19,TCS In Talks With US Auto Major On R&D,1
2004-01-23,TCS To File Patents In US,1
2004-01-28,"TCS Expects Rs 1,000 Crore Billing From UK Contract",1
2004-02-16,CA Plans Tie-Ups With Indian IT Majors,1
2004-03-24,'India'S Software Firms Have Some Weaknesses',1
2004-04-14,IDBI Shortlists 3 Consultants To Script Conversion Path,1
2004-04-20,TCS To Rejig BPO Arms,1
2004-05-11,TCS To Acquire Phoenix Global,1
2004-06-05,Avaya Gets Nod To Pick Up 25% In Tata Telecom,1
2004-06-15,"FIIs' Tech Assets To Rise Post-TCS Float,TCS Shareholders To Get Rs 3,900cr",2
2004-06-16,GE Not To Get Automatic Allotment In TCS Issue,1
2004-06-17,Tatas To Invest TCS Proceeds In Emerging Sectors,1
2004-06-19,"Ratan Tata, Ramadorai In New TCS Board",1
2004-06-28,The Billion $ Comparison,1
2004-07-06,IIIT`s 2004 Batch Gets 100% Placement,1
2004-07-07,Sebi Seeks Clarification On TCS Flotation,1
2004-07-13,'Constant Interaction With Industry Is Essential',1
2004-07-14,"Role Reversal: HDFC To Buy Out TCS Stake In Intelenet Global,Software Services Exports Up 25%, TCS Tops List,Software Services Exports Up 25%, TCS Tops List",3
2004-07-16,TCS Offer Opens On July 29,1
2004-07-20,"TCS Issue Price At Rs 775-900 A Share,TCS: Opting For A Cheaper Float",2
2004-07-21,TCS Bottomline Jumps 47% In FY04,1
2004-07-22,"Tata Steel Forays Into Software Business,TCS Sets Its Sight On Global Listing,HDFC Buys TCS Stake In Intelenet For Rs 161 Cr",3
2004-07-23,"Rewards Of Enterprise,Tata Steel: Bottomline Rises With Prices,TCS Looks For Buyouts After Initial Offer",3
2004-07-24,"TCS Onsite Staff Kept Out Of IPO,Foreign Inflows Via TCS Float Unlikely To Prop Rupee",2
2004-07-26,Will Primary Market Revive?,1
2004-07-27,Outsourcing Rumpus Has Helped Business: TCS,1
2004-07-28,"Government Hopeful Of Infy Centre In West Bengal,Government Hopeful Of Infy Centre In West Bengal",2
2004-07-29,The Trail Ahead Of M&M,1
2004-07-30,JRD'S True Legacy,1
2004-07-31,"TCS Bags Indian Bank Core Solution Deal,TCS Eyes Growth In Latin America,Techs In Favour On Dalal St",3
2004-08-02,TCS IPO Update,1
2004-08-05,"TCS Issue Draws The Big Funds,Dalal St Expects TCS To Be Priced At Rs 850",2
2004-08-06,TCS Issue Subscribed 7 Times,1
2004-08-07,"TCS Collects Rs 50,000 Cr",1
2004-08-09,TCS Leaves 'Something On The Table For Investors',1
2004-08-11,"TCS Seen Listing In Rs 950-1,050 Range,A Former Dotcomer Returns To His Roots",2
2004-08-12,Market Is Hungry For Good Issues,1
2004-08-20,"Reliance Puts Rs 1,500 Cr In TCS Float",1
2004-08-25,"Stocks Waiting For The News,Watch Out Bangalore, Chennai`s Here",2
2004-08-26,"TCS Is Third In M-Cap List,Good Day For Cap Goods Firms,Sebi To Look At Rejected TCS IPO Applications,TCS Shines On Debut, Nets 16% Premium,Tatas Number 1 In Market Cap",5
2004-08-27,"Positives Provide Prop,Azim Premji Gets 20,000 TCS Shares",2
2004-08-28,Newsmaker: Subramaniam Ramodorai,1
2004-08-31,CMC Plans To Ramp Up Overseas Business,1
2004-09-04,BoB`s Finacle Mandate May Go To H-P,1
2004-09-08,The IT Brain Drain,1
2004-09-09,"Tatas Plan Clinic, More Projects In The East",1
2004-09-10,"On TCS Rolls Soon: 29 Crorepatis, 424 Millionaires",1
2004-09-13,"TCS Q2 Net Zooms 51.8%,Floats Mop Up A Record",2
2004-09-22,A P: Maturing Of The Investor Base,1
2004-10-01,IT Majors Vie For Huge ABN Amro Contract,1
2004-10-09,Gaining Streak Continues,1
2004-10-11,A Tale Of Two Public Offerings,1
2004-10-13,"Patni Buys Californian IT Services Firm For $68mn,TCS Q2 Net Zooms 51.8%",2
2004-10-14,"TCS Second Quarter Profit Soars 52%,TCS Rules Out Merger With CMC,TCS: A Promising Future",3
2004-10-15,Value Picks Prop,1
2004-10-16,Wipro: Stretched Valuations,1
2004-10-22,IPOs Squeeze Broker Margins,1
2004-10-23,"Infotech Firing Again, Profits Defy Gravity",1
2004-10-25,42 Firms Line Up Interim Payout,1
2004-10-26,City Union Bank To Install 50 ATM,1
2004-10-27,2-Day Seminar On Global Competitiveness,1
2004-11-02,TCS-CA Ties Up With Andhra Pradesh Technology Services,1
2004-11-03,What`s Fuelling The IT Boom?,1
2004-11-05,TCS Ties Up Israeli Biotech Firm BioStrx,1
2004-11-06,NTPC Ousts TCS As 3rd Largest M-Cap Firm,1
2004-11-09,Intelenet Sees $100m Revenue In 2005-06,1
2004-11-10,IT Seeks Verticals Growth,1
2004-11-13,India Inc On A Dividend Binge,1
2004-11-16,Pallonji Mistry Forays Into BPO Business,1
2004-11-18,"TCS Jumps Up On MSCI Induction,32 Firms With Rs 100 Bn M-Cap",2
2004-11-19,TCS Acquires 10% In Philippines Firm,1
2004-11-22,Magic Spell,1
2004-11-27,TCS Taps Korea Via Local Alliance,1
2004-12-06,Satyam - Still Potent?,1
2004-12-07,Ferrari Selects TCS For F1 Pole Position,1
2004-12-09,Four-Member Team To Manage Tata Tele Affairs,1
2004-12-11,"TCS Leads In Best Employer Survey,Cymbal Gives Patni Foothold In US Telecom",2
2004-12-13,TECS To Help Draft Maritime Policy,1
2004-12-14,German IT Consolidation May Trigger Local Interest,1
2004-12-17,"TCS Best Employer: Hewitt Survey,TCS Plans To Get Out Of Non-Core Businesses,Shyamal Majumdar: The Jobs Boom Party Is On",3
2004-12-21,TCS Completes Phase-I Of Islamic Insurance Solution,1
2004-12-22,TCS To Take JV Route In Venture Capital,1
2004-12-24,TCS To Expand Operations In China,1
2005-01-14,"TCS Net Up 54%, May Pay Interim Dividend",1
2005-01-19,FIIs Gobbled Up Technology Shares In December Quarter,1
2005-01-20,TCS Board Declares Interim Dividend,1
2005-02-10,"Firms To Face Far Less Red Tape For Registration,Wipro Is Private Employer No. 1,Demand For Retail, Mall Space In Chennai High, Says Report,TCS, Wipro Also In Fray For SHE Awards",4
2005-02-15,"TCS, NAL Partner On Aerospace Projects",1
2005-02-16,Indian Software Firms Ride Aerospace Boom,1
2005-02-24,TCS Ties Up With Dr Bono`s Company,1
2005-02-25,SBI To Rope In TCS For IT Joint Venture,1
2005-03-07,TCS Code For Drug Discovery,1
2005-03-15,Work On Hyd Intl Airport To Start On March 16,1
2005-03-22,Foreign B-Schools Learn Indian Business,1
2005-03-28,Ashish Aggarwal: Value-Added Tasks,1
2005-04-20,"TCS Numbers Stun Market,TCS: Deep In The Red",2
2005-04-21,Tatas Unveil Three Projects In Orissa,1
2005-04-25,"NTPC, TCS In Sensex,TCS Tops In VAT Software Sales To Govts",2
2005-05-03,Investing In International Designs,1
2005-05-10,"TCS Keen To Enter Pakistan,Infy Ends TCS` Stint As IT M-Cap Leader",2
2005-05-17,"TCS, MP In E-Governance Pact",1
2005-05-19,SEZ Bill Likely To Raise Stir In MP,1
2005-05-23,Fit-Out Specialists Ride The Gravy Train,1
2005-05-28,Corporate Crooning,1
2005-06-01,Someone`s Checking Up On You,1
2005-06-08,TCS` Next Gen Smart Cards To Hit Market Soon,1
2005-06-16,"TCS, HAL Join Hands For Aerospace Solutions",1
2005-06-17,"`Wage Hikes Are Not Automatic Any More`,TCS, Infosys, Wipro Top Software Exporters` List",2
2005-06-22,"TCS To Recruit 13,500 This Year",1
2005-06-28,TCS Enters Medical Devices Segment,1
2005-06-30,"TCS To Enter Into JV With China Govt,TCS Plans Alliances To Set Up Base In Pakistan",2
2005-07-01,"Microsoft To Play Second Fiddle To TCS In China JV,CII South To Organise `iTalent`",2
2005-07-05,Highway Star,1
2005-07-06,Over 200 CEOs Are Crorepatis,1
2005-07-11,"Infosys Worst Hit In High-Pay Bracket,TCS Axes 1,000 Non-Performers In Apr-June `05",2
2005-07-12,"Nirma Inst Student Bags Rs 4.6 Lakh Pay Packet,TCS` Committed To CSR, Says Company Report",2
2005-07-13,Bengal Renaissance,1
2005-07-14,TCS In Tie-Up With QAD Of US,1
2005-07-16,"Tata Infotech Merges With TCS At 2:1 Swap,TCS Net Jumps 33% To Rs 630 Cr",2
2005-07-18,IT Bellwethers Disappoint,1
2005-07-19,"TCS Plans Training Centre In Pakistan,TCS: Costly Option,TCS Gets $100 Million US Deal Booster",3
2005-07-20,TCS Plans To Join Global Top 10 League,1
2005-07-28,VSNL Mulls Foray Into Grid Computing,1
2005-08-05,TCS Bags Euro 1 Mn Italian Biotech Deal,1
2005-08-06,Newsmaker: Rajesh Hukku,1
2005-08-11,"TCS Plans Research, Analytic Services",1
2005-08-25,TCS To Scale Headcount,1
2005-08-27,"Indices End Slightly Up,TCS Seeks Special Pak Visa For Staff",2
2005-08-29,TCS Plans To Move Sebi On Exemption,1
2005-08-30,"The `Republican Bihari`,TCS Completes CBS In 4,000 SBI Branches",2
2005-09-02,"TCS, Infosys Bag $400-M ABN Outsourcing Deal,ABN Deal Pumps Up Tech Stocks",2
2005-09-06,Corporation Bank: Pressure On Margins,1
2005-09-07,Preaching What They Practise,1
2005-09-13,"IT Firms Eyeing ING Bank Outsourcing Contract,Codissia Plans Engineering Centre Of Excellence",2
2005-09-20,"HP, TCS Focus On Defence Services",1
2005-09-22,Shyamal Majumdar: The Knowledge Champions,1
2005-09-23,TCS Acquires Multi-Million Russian Deal,1
2005-09-24,Service Tax To Cover Software Repair Jobs,1
2005-09-27,"Tata Tea Goes Live On SAP,Process To Spot Allies For Indore SEZ Begins",2
2005-09-29,"TCS, Tata Tele In Rs 1,000-Cr Sourcing Pact",1
2005-09-30,TCS To Hawk Mercury'S Optimisation Software,1
2005-10-03,TCS For Use Of IT In Jobs Scheme,1
2005-10-05,Crumbs To Big Cheese,1
2005-10-11,"Infosys, TCS Net Seen Up 30%",1
2005-10-13,"Momentum Maintained,FIIs Back In Tech Counters With A Bang",2
2005-10-17,"Tech Darlings Promise The Moon, But",1
2005-10-19,"J Rajagopal: Why E-Health Matters,TCS Bags Rs 3,810 Cr UK BPO Contract,Barclays To Snap Ties With TCS",3
2005-10-21,"TCS Leads,TCS Acquires Sydney Firm",2
2005-10-22,Infotech Majors Steal The Thunder In Second Quarter,1
2005-10-24,Govt Set To Remove All Service Tax Anomalies,1
2005-10-26,TCS Opens Rs 45 Cr BPO Solution Centre In Chennai,1
2005-10-27,TCS Sets Eyes On Retail Segment In Asia-Pacific,1
2005-10-29,The Big Wave: Product Engg Outsourcing,1
2005-10-31,IIMC Fest From Dec 23,1
2005-11-07,India Inc Gifts Interim Dividends,1
2005-11-09,TCS Buys Chile Firm For $23 Mn,1
2005-11-11,TCS Begins Major Change In Biz Mix,1
2005-11-14,TCS Rules Out Merger With CMC For Now,1
2005-11-15,"TCS To Scale Up Kolkata Centre,TCS Undertakes Major Change In Business Mix,TCS, SBI Team Up For Tech Venture",3
2005-11-21,Expect Consolidation,1
2005-11-23,Two To Tango,1
2005-12-07,"ICICI Issue Subscribed Over 7 Times,TCS, SAP Sign Pact For Manufacturing Solutions",2
2005-12-08,Tata Allying With SBI To Unveil Credit Card,1
2005-12-09,TCS Eyes BPO Units In Europe,1
2005-12-10,"Wipro, Infosys, TCS To Hire 50,000 In A Year",1
2005-12-16,Infosys Team To Visit Kolkata,1
2005-12-19,TCS Bags Clinical Trial Data Contract From Novo Nordisk,1
2005-12-21,Mumbai Port Gets Stay On Coal Imports Ban,1
2005-12-28,India A Hub For Aircraft Engineering Design,1
2005-12-30,Emergency Disaster Centre In Mumbai Soon,1
2006-01-02,Noga Plans New Unit In Food Park,1
2006-01-04,Monnet Ispat To Set Up Rs 200-Cr Iron Unit In MP,1
2006-01-06,TCS Plans To Set Up Centre In Poland,1
2006-01-13,"TCS Net Profit Up 5.6% At Rs 679.65 Crore,TCS Names UK Unit Diligenta",2
2006-01-19,"IT Majors Heading For Nagpur SEZ,India Inc Sees Profit Slowdown",2
2006-01-21,BPO Bug Bites Global Bourses,1
2006-01-24,TCS To Buy Lifescience Service Firms In US,1
2006-01-25,"TCS, IBM To Build Allahabad Bank Network",1
2006-02-01,TCS Awaits Centre`s Nod On SEZ,1
2006-02-12,TCS Tops Interim Dividend Payers' List,1
2006-02-13,TCS To Launch Engineering Excellence Centre In March,1
2006-02-17,"Tagsys, TCS To Set Up RFID Units In Chennai And Hyderabad,RFID To Reduce Counterfeit Drugs",2
2006-02-28,Tata Group'S Budget Hotel Coming Up At Technopark,1
2006-03-07,Smart-Shoring Gains Ground In India,1
2006-03-08,TCS Launches Engineering Centre Of Excellence In Coimbatore,1
2006-03-10,E-Tracking: June Deadline For Bosses,1
2006-03-13,IT Firms Bullish On Freshers,1
2006-03-15,"TCS, Wipro In Race For Rs 178 Cr MahaBank CBS Contract,IT Majors Vie For MahaBank CBS Contract",2
2006-03-17,"TCS Nears Big BPO Deal With Citigroup,TCS Ousts Infy From Fourth In M-Cap Stakes",2
2006-03-21,"Tatas Eye Automotives, Minerals In South America",1
2006-03-23,TCS To Raise China Headcount,1
2006-03-28,"TCS Planning R&D Centre In Nagpur,April Target For MCA21 E-Filing",2
2006-03-29,IT Majors Vie For Dena`s Rs 200 Cr Technology Deal,1
2006-04-18,"TCS: Beating The Street,TCS Bags $500 Mn Citigroup Contract,TCS Net Profit Up 76%, Offers 1:1 Bonus",3
2006-04-19,TCS Shoots Up 5.7% On Strong Numbers,1
2006-04-24,"TCS Eyes $200 Mn From S Africa,Nasdaq Listing On WNS Radar",2
2006-04-25,"Wipro, TCS Unveil Big Plans For Hyd,TCS Plans Rs 1,000 Cr Capex",2
2006-04-26,AllBank To Moderate Credit Growth To 25-27%,1
2006-05-01,"Microsoft Ropes Infy, TCS Into Health Data Plan",1
2006-05-02,TCS Eyes Indonesia Deals,1
2006-05-03,"Mid-Caps Get Generous, Offer Bonus",1
2006-05-20,Tatas May Set Up Embedded Systems R&D Arm,1
2006-05-26,"TCS Dedicates Facility To Banking, Financial Services",1
2006-06-02,TCS To Partner SAP,1
2006-06-12,"TCS To Set Up 5,000-Seat Pune Campus",1
2006-06-19,TCS May Bid For RIL`s Retail Backbone,1
2006-06-20,"TCS Hires Over 2,000 From 16 TN Engg Colleges,TCS Seeks To Double Revenues From LatAm",2
2006-06-21,E-Governance Plan To Cover All 20 RoCs By July,1
2006-06-30,TCS Lines Up Rs 1300 Cr Capex Amid M&A Push,1
2006-07-04,TCS Top Officials Meet Karunanidhi,1
2006-07-13,"Average Pay Takes A Hit,TCS Hits Roof On Volume Spike",2
2006-07-18,The New Hotspot,1
2006-07-19,"TCS Beats Street, Net At Rs 797 Cr",1
2006-07-20,"TCS To Recruit 4,000 Staff For Latin America,Vizag Port Appoints Rotterdam Maritime, TCS As Consultants",2
2006-07-24,Ramadorai Sixth Most Influential IT Leader,1
2006-07-25,TCS Inks China JVs,1
2006-07-31,MCA 21 Launched In Tamil Nadu,1
2006-08-01,Genetic Major Sequenom Inks Pact With TCS,1
2006-08-02,TCS Seeks To Deprive Cyber Pirates Of Loot,1
2006-08-04,TCS Launches MCA-21 Plan In Orissa,1
2006-08-08,"TCS Develops Gene-Based Malaria Cure,TCS Tops Export List With Rs 11,595 Cr Revenues",2
2006-08-11,Tata To Pump Rs 500 Cr To Up User Base To 3 Mn,1
2006-08-16,Plugging It,1
2006-08-21,TCS To Set Up Software Facility In Coimbatore,1
2006-08-22,Tatas Bring Consultancy Arms Under One Umbrella,1
2006-08-29,"K`taka Clears TCS` 4 SEZs,Special Package For K`taka Floriculture Sought",2
2006-09-05,TCS May Clinch $200 Mn China Deal,1
2006-09-12,TCS Lines Up Rs 1500 Cr TN Expansion,1
2006-09-13,BSNL Shortlists Three Firms For Rs 600-Cr Project,1
2006-09-28,TCS Partners MP In Farmer Education,1
2006-09-30,His New Republic Of Bihar,1
2006-10-02,"Tata Consultancy To Start BPO Operations In Kolkata,Hollywood Calling,Pact Signed With Gujarat,BPOs May Process 30% US Bank Deals By 2010",4
2006-10-14,Chidambaram Kicks Off E-Returns,1
2006-10-17,"TCS Q2 Net Up 46% To Rs 1,019 Crore",1
2006-10-25,Compiling Firms' Results No Two-Plus-Two Affair,1
2006-10-27,TCS To Design Boeing Interiors,1
2006-11-02,India Inc Scrambles To Cap Cover Charge,1
2006-11-15,"Tata Sons Raises Rs 900 Cr By Selling 0.86% In TCS,LIC Goes Digital",2
2006-11-23,"TCS, IMF In Talks For Outsourcing Deal",1
2006-11-25,"IT Czars Bullish On Billing,TCS On A Talent Pool Drive",2
2006-11-30,TCS Bags $65 Mn UK Food Firm Deal,1
2006-12-01,"TCS, Wipro Bid For C&W Outsourcing Deal",1
2006-12-07,TCS Bags Deal From United Biscuits,1
2006-12-13,TCS Rolls Out Enterprise Innovation,1
2006-12-15,TCS Bags SCI Contract,1
