Date,news_lm,"('news_lm', 'count')"
2017-09-26,"Lloyds Bank to transfer 1,000 staff to TCS subsidiary",1
2017-11-17,"TCS to build its own technology, develop in-house talent: Rajesh Gopinathan",1
2017-12-01,We believe in building technologies and talent in-house: Rajesh Gopinathan,1
2018-01-09,Marks & Spencer seeks technology savings through TCS tie-up,1
2018-01-12,"Opening bell: Asian markets open mixed; Infosys, Reliance Jio in focus",1
2018-01-17,TCS wins $690 million outsourcing contract from M&G Prudential,1
2018-03-06,Virgin Atlantic Airlines extends partnership with Tata Consultancy Services,1
2018-04-23,"TCS crosses $100 billion market capitalization,Q4 results: Tata Consultancy Services ends FY18 well, will valuations tango?",2
2018-05-31,"After $32 billion rally, TCS CEO Rajesh Gopinathan sees path to even faster growth",1
2018-06-07,"TCS says issued 24,000 job offers this year",1
2018-06-18,Tata Consultancy Services sets up new delivery centre in Paris,1
2018-06-25,"IT stocks back in favour on weak rupee, cheap valuations",1
2018-06-27,"ICICI Bank shares still in favour stock, but Mahindra is the best bet, say analysts",1
2018-07-10,"HDFC Group’s market cap crosses ₹ 10 trillion, Tata Group at ₹ 11 trillion",1
2018-07-11,"Q1 Results: TCS is back, and firing on all cylinders",1
2018-08-10,TCS pips RIL by ₹ 307.42 crore to become most valued firm,1
2018-09-03,Sensex rally faces hurdles despite world-beating GDP growth,1
2018-09-05,"Tata Sons may use ₹ 12,603 crore TCS windfall to cut debt",1
2018-09-17,"8 of top 10 firms lose ₹41,660 crore in m-cap last week, RIL worst hit",1
2018-10-28,"Eight of top 10 Indian firms lose Rs1.35 trillion in m-cap, TCS worst hit",1
2018-11-18,"Seven of top 10 firms add over ₹70,867 crore in m-cap; RIL tops chart",1
2019-01-06,"Six of 10 most valued companies lose ₹38,153 crore in m-cap; RIL worst hit",1
2019-01-09,Q3 results: Will TCS be the best performing Sensex stock in 2019?,1
2019-01-14,TCS won’t engage in price war to win new deals,1
2019-01-21,Opinion | IT analysts are missing three elephants in the room,1
2019-01-27,"Four of top 10 firms add ₹54,456 crore in m-cap; RIL, TCS shine",1
2019-02-26,Markets recoup losses as initial jitters over IAF strike ease,1
2019-03-05,IT spending may be decoupling from economic growth,1
2019-03-13,HDFC Bank crosses ₹6 trillion market cap mark as shares hit record high,1
2019-03-15,"Tata, Reliance and Airtel emerge best Indian brands of 2019",1
2019-04-12,TCS Q4 profit beats estimates; double-digit revenue growth in fiscal 2019,1
2019-04-14,"TCS, Infosys beat the Street, margin stress can keep valuations in check,TCS says 'hungry' for acquisitions, eyes further acceleration in growth,Six of top 10 firms lose ₹42,827 crore in m-cap, TCS worst hit",3
2019-04-22,"Oil spike sends Sensex tumbling by nearly 500 points, Nifty gives up 10,600,TCS signs a deal with India Post to transform country's mail delivery system",2
2019-04-23,"TCS, Infosys increase hiring by 350% in FY19",1
2019-05-08,TCS set to become world’s third-largest IT services company,1
2019-05-12,"Nine of top-10 Indian firms lose ₹1.60 trillion in m-cap, RIL worst hit",1
2019-05-13,Relief for TCS as US court rejects CSC's demand for restraining order,1
2019-05-16,"TCS CEO Rajesh Gopinathan annual pay rises 28%, takes home over ₹16 cr in FY19",1
2019-05-20,Infosys CEO Salil Parekh drew ₹24.67 cr pay package in FY19,1
2019-05-28,Tata Consultancy Services listed among top 50 US companies for diversity,1
2019-06-22,TCS to open major centre in Patna: Ravi Shankar Prasad,1
2019-07-09,"TCS surprises with slower growth and softer margins in Q1,TCS Q1 results: Net profit rises nearly 11%, here are five key takeaways,TCS Q1 results: Net profit rises to ₹8,131 crore,TCS Q1 Results Highlights: Net profit increases 10.8% to ₹8,131 crore",4
2019-07-14,"Infosys delivers on revenue, deal wins, but will margins follow suit?",1
2019-07-25,TCS overtakes RIL to reclaim m-cap crown,1
2019-08-07,Shine from the jewellery business diminishes for Titan in June quarter,1
2019-08-11,"Cognizant rationalising costs to re-invest in talent, expand digital solutions",1
2019-08-20,IT stocks fall despite weak rupee amid bleak outlook,1
2019-09-20,RIL replaces TCS as top firm in market capitalisation,1
2019-10-10,"Indian markets may be wobbly, global stocks weak, TCS Q2 in focus",1
2019-10-11,Indian stock market seen stable as Asian shares firm on US-China trade talks,1
2019-11-03,Eight of top-10 Indian firms add ₹1.34 trillion in m-cap; TCS tops the chart,1
2019-11-12,"Govt to consider TCS, Infosys proposals to set up SEZs in IT sector on Friday",1
2019-11-24,"7 of top-10 Indian firms lose ₹76,164 crore in market valuation, TCS worst hit",1
2019-12-09,"Sensex, Nifty end flat amid choppy trade",1
2019-12-19,HDFC Bank crosses $100 bn market cap in intraday trading,1
2019-12-30,"At TCS, slow conversion rate of orders into revenue adds to seasonal softness",1
2020-01-07,Sensex closes higher but off day’s high; mood cautious,1
2020-01-19,"TCS growth engine nearly grinds to a halt, putting valuations in question",1
2020-01-22,"TCS brand value grew six-fold from 2010 to $13.5 bn in 2019: Report,TCS brand value grew nearly six-fold since 2010 to $13.5bn in 2019: Report",2
2020-01-31,Abidali Neemuchwala resigns as Wipro CEO citing family commitments,1
2020-02-03,Walgreens Boots Alliance extends TCS tie-up in $1.5 billion deal,1
2020-02-09,"Eight of 10 top firms add ₹1.57 lakh crore in m-cap; RIL, HDFC shine",1
2020-02-16,"Eight of top-10 Indian firms add over ₹1 tn in m-cap, Reliance tops the list",1
