Date,news_mc1,"('news_mc1', 'count')"
2020-01-02,Tata-Mistry case | NCLAT adjourns RoC plea till January 3,1
2020-01-04,"Now, TCS moves Supreme Court against NCLAT Order reinstating Mistry as director",1
2020-01-17,"TCS Q3 profit grows 0.9%, dollar revenue growth at 1.3% misses estimates,TCS preview | BFSI, retail to dent Q3 show; rupee weakness to drive margin",2
2020-01-20,"TCS Q3 revenue below expectations; what should investors do with the stock?,TCS Consolidated December 2019 Net Sales at Rs 39,854.00 crore, up 6.74% Y-o-Y,TCS Standalone December 2019 Net Sales at Rs 33,040.00 crore, up 6.7% Y-o-Y",3
2020-01-21,"Hold Tata Consultancy Services; target of Rs 2120: ICICI Direct,TCS Consolidated December 2019 Net Sales at Rs 39,854.00 crore, up 6.74% Y-o-Y,TCS Standalone December 2019 Net Sales at Rs 33,040.00 crore, up 6.7% Y-o-Y",3
2020-01-22,TCS wins $6 billion deals in Q3: Key highlights from conference call,1
2020-01-23,Hold Tata Consultancy Services; target of Rs 2106: Prabhudas Lilladher,1
2020-01-30,ABN AMRO strengthens partnership with TCS,1
2020-02-03,TCS bags $1.5 bn contract from Walgreens Boots Alliance,1
2020-02-07,Indian banking system at the cusp of huge growth in next decade: TCS executive,1
2020-02-24,"TCS, DLF seek govt nod to set up SEZs",1
2020-03-02,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitesh Thakkar for short term",1
2020-03-03,"Twitter asks employees to work from home; TCS, HCL Tech instruct staff to avoid non-essential travel",1
2020-03-04,"Tackling coronavirus: After techie tests positive, tech companies go on overdrive to check virus",1
2020-03-05,Coronavirus impact: IT firms may see drop in new deal conversions,1
2020-03-06,"Govt approves TCS, DLF proposals to set up SEZs",1
2020-03-10,TCS declares Rs 12 a share interim dividend,1
2020-03-12,Qatar's Black Cat Engineering ties up with TCS for digital transformation,1
2020-03-18,TCS again overtakes Reliance Industries to become most valued firm by market capitilisation,1
2020-03-23,TCS global head for IT Amit Jain dies of heart attack,1
2020-03-25,Coronavirus pandemic | India's huge outsourcing industry struggles with work-from-home scenario,1
2020-03-30,Hot Stocks | Here's why TCS and Coal India are short-term buys,1
2020-04-01,"H-1B visas: India tops list of registrants, says USCIS",1
2020-04-06,"Lockdown: TCS offers free, 15-day digital certification programme",1
2020-04-10,TCS to announce FY20 results on April 16,1
2020-04-16,"TCS expects peak of coronavirus impact to be felt in Q2; sees no layoffs but defers salary hikes,TCS Q4: IT bellwether posts lacklustre numbers; 8 key takeaways,TCS Q4 profit falls 0.85% to Rs 8,049 crore, total contract value at $8.9 billion",3
2020-04-17,TCS – The long run winner post COVID-19,1
2020-04-20,Coronavirus impact | IT firms unlikely to ask employees to report to office before May 3,1
2020-04-22,TCS to power Israel's first fully digital bank,1
2020-05-20,TCS CEO Rajesh Gopinathan remuneration in FY20 fell 16% to Rs 13.3 crore,1
2020-05-30,"COVID-19 impact: As AGMs go virtual, shareholders worry about management controls",1
2020-06-10,TCS iON partners with NSDC to accelerate skill development,1
2020-06-11,"World's reliance on China for sourcing goods to reduce, presents opportunity for India: N Chandrasekaran",1
2020-06-17,Will reverse migration of techies pave way for IT sector's growth in smaller cities?,1
2020-06-25,COVID-19 impact: Indian IT firms may forgo filing fresh H-1B petitions this year,1
2020-06-28,"Six of top-10 firms add Rs 92,130.59 crore in m-cap; TCS biggest gainer",1
