Date,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum
2003-07-10,Neutral,Objective,0,0,,,
2003-07-14,Neutral,Objective,0,0,,,
2003-07-16, Highly Positive,Slightly Subjective,0.7,0.6,,,
2003-07-29,Neutral,Objective,0,0,,,
2003-08-05,Neutral,Objective,0,0,,,
2003-08-11,Neutral,Objective,0,0,,,
2003-09-10,Neutral,Objective,0,0,,,
2003-09-30,Neutral,Objective,0,0,,,
2003-10-21, Slightly Positive,Objective,0.15,0.1,,,
2003-10-27,Neutral,Objective,0,0,,,
2003-11-06,Neutral,Objective,0,0,,,
2003-11-08,Neutral,Objective,0,0,,,
2003-11-13,Neutral,Objective,0,0,,,
2003-12-01,Neutral,Objective,0,0,,,
2003-12-10,Neutral,Objective,0,0,,,
2003-12-20,Neutral,Objective,0,0,,,
2003-12-30,Neutral,Objective,0,0,,,
2004-01-10,Neutral,Objective,0,0,,,
2004-01-19,Neutral,Slightly Subjective,0.0625,0.5,,,
2004-01-23,Neutral,Objective,0,0,,,
2004-01-28,Neutral,Objective,0,0,,,
2004-02-16,Neutral,Objective,0,0,,,
2004-03-24,Neutral,Objective,0,0,,,
2004-04-14,Neutral,Objective,0,0,,,
2004-04-20,Neutral,Objective,0,0,,,
2004-05-11,Neutral,Objective,0,0,,,
2004-06-05,Neutral,Objective,0,0,,,
2004-06-15,Neutral,Objective,0,0,,,
2004-06-16,Neutral,Objective,0,0,,,
2004-06-17,Neutral,Objective,0,0,,,
2004-06-19, Slightly Positive,Slightly Subjective,0.136363636,0.454545455,,,
2004-06-28,Neutral,Objective,0,0,,,
2004-07-06,Neutral,Objective,0,0,,,
2004-07-07,Neutral,Objective,0,0,,,
2004-07-13,Neutral,Highly Subjective,0,0.316666667,,,
2004-07-14,Neutral,Objective,0,0,,,
2004-07-16,Neutral,Objective,0,0,,,
2004-07-20,Neutral,Objective,0,0,,,
2004-07-21,Neutral,Objective,0,0,,,
2004-07-22,Neutral,Objective,0,0,,,
2004-07-23,Neutral,Objective,0,0,,,
2004-07-24, Highly Negative,Slightly Subjective,-0.5,0.5,,,
2004-07-26,Positive,Slightly Subjective,0.4,0.5,,,
2004-07-27,Neutral,Objective,0,0,,,
2004-07-28,Neutral,Objective,0,0,,,
2004-07-29,Neutral,Objective,0,0,,,
2004-07-30, Slightly Positive,Slightly Subjective,0.35,0.65,,,
2004-07-31,Neutral,Objective,0,0,,,
2004-08-02,Neutral,Objective,0,0,,,
2004-08-05,Neutral,Objective,0,0.1,,,
2004-08-06,Neutral,Objective,0,0,,,
2004-08-07,Neutral,Objective,0,0,,,
2004-08-09,Neutral,Objective,0,0,,,
2004-08-11,Neutral,Objective,0,0,,,
2004-08-12, Highly Positive,Slightly Subjective,0.7,0.6,,,
2004-08-20,Neutral,Objective,0,0,,,
2004-08-25,Neutral,Objective,0,0,,,
2004-08-26,Neutral,Objective,0,0,,,
2004-08-27,Neutral,Objective,0,0,,,
2004-08-28,Neutral,Objective,0,0,,,
2004-08-31,Neutral,Objective,0,0,,,
2004-09-04,Neutral,Objective,0,0,,,
2004-09-08,Neutral,Objective,0,0,,,
2004-09-09,Neutral,Objective,0,0,,,
2004-09-10,Neutral,Objective,0,0,,,
2004-09-13,Neutral,Objective,0,0,,,
2004-09-22, Highly Negative,Slightly Subjective,-0.8,1,,,
2004-10-01,Positive,Slightly Subjective,0.4,0.9,,,
2004-10-09,Neutral,Objective,0,0,,,
2004-10-11,Neutral,Objective,0,0.066666667,,,
2004-10-13,Negative,Highly Subjective,-0.1,0.2,,,
2004-10-14,Neutral,Highly Subjective,0.066666667,0.208333333,,,
2004-10-15,Neutral,Objective,0,0,,,
2004-10-16,Negative,Objective,-0.05,0,,,
2004-10-22,Neutral,Objective,0,0,,,
2004-10-23,Neutral,Objective,0,0,,,
2004-10-25,Neutral,Objective,0,0,,,
2004-10-26,Neutral,Objective,0,0,,,
2004-10-27,Neutral,Objective,0,0,,,
2004-11-02,Neutral,Objective,0,0,,,
2004-11-03,Neutral,Objective,0,0,,,
2004-11-05,Negative,Slightly Subjective,-0.2,0.4,,,
2004-11-06,Negative,Highly Subjective,-0.1,0.2,,,
