created_at,text,tweets_count,retweets_sum,favourites_sum
2020-01-20,"RT @indian_stockss: #TCS - Sideways Stock, sideways reaction https://t.co/upfwV8Yvlr,Intraday Technical Levels | Yesbank | Idea | Ashokley | Ibulhsgfin | Tat... https://t.co/UCTGKB1kcu via @YouTube… https://t.co/8fEESuBOgW,RT @sundarvann: In stock markets these days only HRITHIK is working; HDFC, Reliance Industries, Infosys, TCS, HDFC Bank, ITC and Kotak Mahi…,Stock Market Today|21-01-20| Aliceblue | Share | Nifty | Banknifty | Yes... https://t.co/pJwuOem8jr via @YouTube… https://t.co/1qOXVh3oWQ,In stock markets these days only HRITHIK is working; HDFC, Reliance Industries, Infosys, TCS, HDFC Bank, ITC and Kotak Mahindra Bank,#TCS - Sideways Stock, sideways reaction https://t.co/upfwV8Yvlr,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…,RT @BloombergQuint: Nifty CPSE Index changes to become effective from January 24; total member constituents to rise from 10 to 12.

Read: h…,#Stock markets seen under pressure on #oil price rise; RIL, TCS shares in focus 
Early turnover in Asian shares was… https://t.co/68ZP4nMAGQ,பங்குச்சந்தை இன்று எப்படி இருந்தது?|20-01-20| Tamil | Share | Yesbank | ... https://t.co/pXPtuoi3aD via @YouTube… https://t.co/38Zexb01fm,Now traders and investors  cautious to buy stock before there quarterly result as profit booking seen in big elepha… https://t.co/zDnRZ8sFjJ,RT @BQthefineprint: IDBI Bank initiates insolvency proceedings against Reliance Naval &amp; Engineering Ltd.

Read: https://t.co/oFTh0dSy8s htt…,#BQMarketWrap | #Sensex, #Nifty log worst fall in two weeks as RIL, Kotak Mahindra bank drag.

Read:… https://t.co/tTOEbtHVBm,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's asset quality worsens. 

Read: https://t.co/74U5DlvSAL https://t.co/asQcBxQI16,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…,Live: Sensex Drops 300 Points; Bank Of Maharashtra Surges 12% After Q3 Results - BloombergQuint https://t.co/Wx4NnfTHAA,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's provisions at Rs 444 crore.

Read: https://t.co/74U5DlvSAL https://t.co/aUKVeB3l0j,RT @BloombergQuint: Kotak Mahindra Bank drops the most in seven months after Q3 results announcement. #Q3WithBQ 

Read: https://t.co/0Nf8Z3…,#Q3WithBQ | Kotak Mahindra Bank's provisions at Rs 444 crore.

Read: https://t.co/74U5DlvSAL https://t.co/aUKVeB3l0j,Kotak Mahindra Bank drops the most in seven months after Q3 results announcement. #Q3WithBQ 

Read:… https://t.co/k5dTmWYQVL,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's asset quality worsens. 

Read: https://t.co/74U5DlvSAL https://t.co/asQcBxQI16,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…,RT @BloombergQuint: #Q3WithBQ | Kotak Mahindra Bank's profit rises 23.6% year-on-year. 

Read: https://t.co/74U5DlvSAL https://t.co/fWQWA5B…",25,5,6
2020-01-21,"RT @Maestro_Stock: ・テクノ・セブン （6852）：＋29円の2,100円。
　チャート必見です
　暴騰後の暴落から反発反騰が期待されます。
　ソフト会社ＴＣＳグループ。システムが官公庁関連中心に続伸。自動紙折り機や３Ｄプリンタ等の品ぞろえ拡充。ＡＩや５Ｇ分野…,▶ Sensex drops 416 points to close at 41,528; Kotak Bank, TCS, RIL slide - BusinessLine: Sensex drops 416 points to… https://t.co/gilQgXmrkc,#Result Update: Q3FY20
TCS (QoQ): PAT at Rs8,118cr (+0.9%). Revenue at Rs39,854cr (+2.3%). IT services attrition ra… https://t.co/m3NjgDioxc,RT @FinanceFansclub: Live: Sensex Drops 300 Points; Bank Of Maharashtra Surges 12% After Q3 Results - BloombergQuint https://t.co/Wx4NnfTHAA,RT @Share_Bajaar: देशातील सर्वात मोठ्या IT कंपनीने नुकतेच Q3 तिमाहीचे निकाल जाहीर केले. Q3 IT कंपन्यांसाठी फार सकारात्मक नसतोच, पण TCS ने अ…,Stock Market LIVE|21-JAN-20| Nifty | Banknifty | Yesbank | Aliceblue | T... https://t.co/4vmrPrQNn3 via @YouTube… https://t.co/b6ZbE12xVp,देशातील सर्वात मोठ्या IT कंपनीने नुकतेच Q3 तिमाहीचे निकाल जाहीर केले. Q3 IT कंपन्यांसाठी फार सकारात्मक नसतोच, पण TC… https://t.co/pcrwlf9i9b,RT @Maestro_Stock: ・テクノ・セブン （6852）：＋29円の2,100円。
　チャート必見です
　暴騰後の暴落から反発反騰が期待されます。
　ソフト会社ＴＣＳグループ。システムが官公庁関連中心に続伸。自動紙折り機や３Ｄプリンタ等の品ぞろえ拡充。ＡＩや５Ｇ分野…",8,1,2
2020-01-22,"@VikashGJain1 Jain sahab instead of puttin money in one go start sip, 

Atleast keep buying one gold ETF every mont… https://t.co/yFvqwZx2TI,#volatility  #historicalvolatility #Garch
Garch(1,1) Volatility(annual) for 2020-01-21: 
ADANIPORTS: 30%
BHARTIARTL… https://t.co/llUAfJNwZF,For all the talk of ""being contrarian"" in the stock market, often  the treasure can be found looking in the most ob… https://t.co/1yGQD1D93V,Stock to watch today .... #adanipot #tcs #infratel",4,0,19
2020-01-23,"$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/FfI3ZgNFwG,The Climate Service was honored to be interviewed this week on the floor of the New York Stock Exchange. Thank you… https://t.co/PsjZD802qt,$TCS in Downtrend: its price may drop because broke its higher Bollinger Band on January 15, 2020. View odds for th… https://t.co/Fl24w7OKlv,#CNBCTV18 
 CNBC experts are completely fail to read any results. Yesterday they were telling don't buys Axis bank… https://t.co/bK6qGxZBaa,#CNBCStockMarketNews 
CNBC experts are completely fail to read any results. Yesterday telling don't buys Axis bank… https://t.co/yNWzCrmjoQ,#CNBC CNBC experts are completely fail to read any results. Yesterday they were telling don't buys Axis bank as res… https://t.co/Y3j5bhjewQ",6,1,5
2020-01-24,"@casports.official Morgs 2.0 #batting #pads now in stock! 

#exclusive #cricket #tcs #ca https://t.co/Ufu3JtgdIL,$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/JL7OurjTWA,RT @3rdr3r: @datta_arvind 50% in Top 5 Stock of Nifty
As Core. 

Hdfc Bank
Reliance
HDFC
ICICI BANK
INFY

50% in Next 10 Researched Nifty C…,$TCS in Downtrend: its price may drop because broke its higher Bollinger Band on January 15, 2020. View odds for th… https://t.co/NtDD29q6HS,In our view, Helix TCS stock looks set to continue bottoming out from current lows  #helixtcs #hlix #potstocks… https://t.co/3n4TfAVsqI,@nitinbhatia121 Sir. With regards to stock heavy weight like reliance and TCS tend to have max point at 100s for ex… https://t.co/QcKtejuu51,RT @TheClimateSvc: The Climate Service was honored to be interviewed this week on the floor of the New York Stock Exchange. Thank you to @E…",7,0,4
2020-01-25,"$TCS short interest ratio is 5.64 on 2019-05-31 https://t.co/yakOjYLOpQ $PIR 7.97 $ETH 6.17,$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/kjI5kMu389,In our view, Helix TCS stock looks set to continue bottoming out from current lows  #helixtcs #hlix #potstocks… https://t.co/TClhbVxLeT",3,0,2
2020-01-26,"@bjpmohitgupta @TajinderBagga Beta...

Stock market mein I work..

All the banks except AXIS and ICICI (result out… https://t.co/OE6NI0jRXS,In our view, Helix TCS stock looks set to continue bottoming out from current lows  #helixtcs #hlix #potstocks… https://t.co/UYr8bJh30s,Adaniport
Amarajabat
Godrejcp
Havells
Indigo
Jswsteel
M&amp;m
M&amp;mfin
Mfsl
Ramcocem
Tatasteel
Tcs

Good stock for tomorr… https://t.co/4TxWJJcAZF,#TCS weekly chart, stock consolidating at the upper end of the range with many #doji s , representing indecisivenes… https://t.co/AK2ZBkvchx,$TCS in Downtrend: Stochastic indicator leaves overbought zone. View odds for this and other indicators:… https://t.co/mATipPTLXk",5,0,18
2020-01-27,"$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/IZNRGmI2U6,@TataCompanies @TCS I am not satisfied to tata sky because  service not provide fast and other brand like westside stock is not maintain,பங்குச்சந்தை இன்று எப்படி இருந்தது?|27-01-20| Tamil | Share | Yesbank | ... https://t.co/toRZ6qwzJr via @YouTube… https://t.co/mcF8Gmpc9o,@nitinbhatia121 TCS couldn't break 2200. Looks weak n can see 2060. It is following the range as per ur stock talk… https://t.co/PrPVDjBxAZ,#OpeningBell | #Nifty below 12,200-mark; #Sensex slips over 150 pts. Losers: JSW Steel (-3%), Vedanta, Tata Steel (… https://t.co/9EsK2fupUZ,$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/JlkJv0UGfV",6,0,4
2020-01-28,"RT @stocktalk_in: #AmitShah India's current home minister, was a stock broker before becoming a politician.

Quick Facts (1/2):
🔸 57.6% of…,RT @stocktalk_in: #AmitShah India's current home minister, was a stock broker before becoming a politician.

Quick Facts (1/2):
🔸 57.6% of…,RT @stocktalk_in: #AmitShah India's current home minister, was a stock broker before becoming a politician.

Quick Facts (1/2):
🔸 57.6% of…,RT @stocktalk_in: #AmitShah India's current home minister, was a stock broker before becoming a politician.

Quick Facts (1/2):
🔸 57.6% of…,#AmitShah India's current home minister, was a stock broker before becoming a politician.

Quick Facts (1/2):
🔸 57.… https://t.co/EThMSIRqW3,TCS trend signal and strong support at 2150.
Today stock made a low of 2152 then bounced up to 2185 

or more stock… https://t.co/69e5fvT1Na,$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/ksJBR7WnQb,➡ #Tcs #stock #trading @ 2,172.55,

Stock made LOW 2152 taken SUPPORT @ 2,156 and started moving UP, expect 2201/22… https://t.co/1nQRqs01O2,$TCS in Downtrend: Stochastic indicator recovers from overbought zone. View odds for this and other indicators:… https://t.co/Z8szJgkG5u,Stock Market LIVE|28-JAN-20| Nifty | Banknifty | Yesbank | Aliceblue | T... https://t.co/Tqk7ZAcCyW via @YouTube… https://t.co/pHTlXUbDrw,In our view, Helix TCS stock looks set to continue bottoming out from current lows  #helixtcs #hlix #potstocks… https://t.co/rZhHJGWLsX",11,4,25
2020-01-29,"#TCS: Tata Consultancy Services Limited has gained a star, now a 3 star stock. (https://t.co/PsOVOYBWZD),⁦@TESLAcharts⁩ you have put together a great podcast man much appreciated ... this episode (from a consumers perspe… https://t.co/mDw62B1Qn3,RT @OutlookBusiness: Despite #HCLTech's strengths, its #stock trades at a discount compared to its peers — #Infosys, #TechMahindra and #Wip…,RT @themukulagrawal: https://t.co/iFBElq6wwt

Catch me live 8.30 pm

Nifty banknifty stocks

Apke stocks k jawab
Tonight will discuss- indi…,Tomorrow's Stock Of The Day updated ""TCS"" visit https://t.co/Y5NvXVYig9,In our view, Helix TCS stock looks set to continue bottoming out from current lows  #helixtcs #hlix #potstocks… https://t.co/rHKInQvYp1,Despite #HCLTech's strengths, its #stock trades at a discount compared to its peers — #Infosys, #TechMahindra and… https://t.co/yIxLSwUQ6t,https://t.co/iFBElq6wwt

Catch me live 8.30 pm

Nifty banknifty stocks

Apke stocks k jawab
Tonight will discuss- i… https://t.co/vmvd9mWA3U,TCS : big boy with 8 lakh cr m-cap. &amp; if u think the story is over then think again! It will grow to 40 lakh cr m-c… https://t.co/IqMY9Joks1,RT @IIFLMarkets: #ClosingBell | Indices end higher; #Sensex gains over 200 pts. Gainers: Tata Motors (+7%), Bajaj Finance (+5%). Losers: Ei…,➡ #Tcs #stock is still on track,

2,149 is strong SUPPORT 👍 

#Nifty #NIFTYFUTURE #bankniftyfuture #stockstowatch… https://t.co/K9qck9UO92,#ClosingBell | Indices end higher; #Sensex gains over 200 pts. Gainers: Tata Motors (+7%), Bajaj Finance (+5%). Los… https://t.co/fuAOmb3sSq,$TCS in Downtrend: Stochastic indicator leaves overbought zone. View odds for this and other indicators:… https://t.co/oYOl0vDJ2N,#Nifty #nifty50 Stock

TCS February Put 2200➕68.85,Taken Risk❗

#Nifty #nifty50 stock

TCS Future January➖2167
TCS Future February➖2172

TCS Spot 2166,#OpeningBell | #Sensex rallies over 200 pts; #Nifty opens above 12,100-mark. Gainers: Tata Steel, Tata Motors, GAIL… https://t.co/bCrBLmVQux,$HLIX Helix TCS Stock (OTCMKTS:HLIX): A Fundamentally Attractive Investment

#helixtcs #hlix #potstocks… https://t.co/9ZrQMLw5Qk",17,4,21
